filename	number	category	descriptor	width	height	format	bytes	original_filename	source	license	inventor	page	patent	variant
lynn_conway_us5046022_printrescancolor300/6051_scans-patents_lynn-conway-us5046022-rescan-color_p023_2479x3230.jpg	6051	scans-patents	lynn-conway-us5046022-rescan-color_p023	2479	3230	jpg	1445483	page_023.jpg	uspto	PD	lynn-conway	23	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6052_scans-patents_lynn-conway-us5046022-rescan-color_p024_2479x3230.jpg	6052	scans-patents	lynn-conway-us5046022-rescan-color_p024	2479	3230	jpg	1546580	page_024.jpg	uspto	PD	lynn-conway	24	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6053_scans-patents_lynn-conway-us5046022-rescan-color_p025_2479x3230.jpg	6053	scans-patents	lynn-conway-us5046022-rescan-color_p025	2479	3230	jpg	1335212	page_025.jpg	uspto	PD	lynn-conway	25	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6054_scans-patents_lynn-conway-us5046022-rescan-color_p026_2479x3230.jpg	6054	scans-patents	lynn-conway-us5046022-rescan-color_p026	2479	3230	jpg	1573043	page_026.jpg	uspto	PD	lynn-conway	26	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6055_scans-patents_lynn-conway-us5046022-rescan-color_p027_2479x3230.jpg	6055	scans-patents	lynn-conway-us5046022-rescan-color_p027	2479	3230	jpg	698567	page_027.jpg	uspto	PD	lynn-conway	27	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6056_scans-patents_lynn-conway-us5046022-rescan-color_p028_2479x3230.jpg	6056	scans-patents	lynn-conway-us5046022-rescan-color_p028	2479	3230	jpg	868914	page_028.jpg	uspto	PD	lynn-conway	28	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6057_scans-patents_lynn-conway-us5046022-rescan-color_p029_2479x3230.jpg	6057	scans-patents	lynn-conway-us5046022-rescan-color_p029	2479	3230	jpg	443403	page_029.jpg	uspto	PD	lynn-conway	29	us5046022	rescan-color
lynn_conway_us5046022_printrescancolor300/6058_scans-patents_lynn-conway-us5046022-rescan-color_p030_2479x3230.jpg	6058	scans-patents	lynn-conway-us5046022-rescan-color_p030	2479	3230	jpg	422835	page_030.jpg	uspto	PD	lynn-conway	30	us5046022	rescan-color
lynn_conway_us5046022_printrescangray300/6059_scans-patents_lynn-conway-us5046022-rescan-gray_p001_2479x3230.jpg	6059	scans-patents	lynn-conway-us5046022-rescan-gray_p001	2479	3230	jpg	962726	page_001.jpg	uspto	PD	lynn-conway	1	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6060_scans-patents_lynn-conway-us5046022-rescan-gray_p002_2479x3230.jpg	6060	scans-patents	lynn-conway-us5046022-rescan-gray_p002	2479	3230	jpg	615817	page_002.jpg	uspto	PD	lynn-conway	2	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6061_scans-patents_lynn-conway-us5046022-rescan-gray_p003_2479x3230.jpg	6061	scans-patents	lynn-conway-us5046022-rescan-gray_p003	2479	3230	jpg	506755	page_003.jpg	uspto	PD	lynn-conway	3	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6062_scans-patents_lynn-conway-us5046022-rescan-gray_p004_2479x3230.jpg	6062	scans-patents	lynn-conway-us5046022-rescan-gray_p004	2479	3230	jpg	614907	page_004.jpg	uspto	PD	lynn-conway	4	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6063_scans-patents_lynn-conway-us5046022-rescan-gray_p005_2479x3230.jpg	6063	scans-patents	lynn-conway-us5046022-rescan-gray_p005	2479	3230	jpg	598419	page_005.jpg	uspto	PD	lynn-conway	5	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6064_scans-patents_lynn-conway-us5046022-rescan-gray_p006_2479x3230.jpg	6064	scans-patents	lynn-conway-us5046022-rescan-gray_p006	2479	3230	jpg	570642	page_006.jpg	uspto	PD	lynn-conway	6	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6065_scans-patents_lynn-conway-us5046022-rescan-gray_p007_2479x3230.jpg	6065	scans-patents	lynn-conway-us5046022-rescan-gray_p007	2479	3230	jpg	520664	page_007.jpg	uspto	PD	lynn-conway	7	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6066_scans-patents_lynn-conway-us5046022-rescan-gray_p008_2479x3230.jpg	6066	scans-patents	lynn-conway-us5046022-rescan-gray_p008	2479	3230	jpg	623082	page_008.jpg	uspto	PD	lynn-conway	8	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6067_scans-patents_lynn-conway-us5046022-rescan-gray_p009_2479x3230.jpg	6067	scans-patents	lynn-conway-us5046022-rescan-gray_p009	2479	3230	jpg	1386576	page_009.jpg	uspto	PD	lynn-conway	9	us5046022	rescan-gray
lynn_conway_us5046022_printrescangray300/6068_scans-patents_lynn-conway-us5046022-rescan-gray_p010_2479x3230.jpg	6068	scans-patents	lynn-conway-us5046022-rescan-gray_p010	2479	3230	jpg	1495245	page_010.jpg	uspto	PD	lynn-conway	10	us5046022	rescan-gray
