id	path	sdr_url	sdr_present	hdr_url	stem_differs
6080	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6080_scans-patents_lynn-conway-us5046022-rescan-gray_p022_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6080_scans-patents_lynn-conway-us5046022-rescan-gray_p022_2479x3230.sdr.png	1		0
6081	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6081_scans-patents_lynn-conway-us5046022-rescan-gray_p023_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6081_scans-patents_lynn-conway-us5046022-rescan-gray_p023_2479x3230.sdr.png	1		0
6082	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6082_scans-patents_lynn-conway-us5046022-rescan-gray_p024_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6082_scans-patents_lynn-conway-us5046022-rescan-gray_p024_2479x3230.sdr.png	1		0
6083	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6083_scans-patents_lynn-conway-us5046022-rescan-gray_p025_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6083_scans-patents_lynn-conway-us5046022-rescan-gray_p025_2479x3230.sdr.png	1		0
6084	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6084_scans-patents_lynn-conway-us5046022-rescan-gray_p026_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6084_scans-patents_lynn-conway-us5046022-rescan-gray_p026_2479x3230.sdr.png	1		0
6085	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6085_scans-patents_lynn-conway-us5046022-rescan-gray_p027_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6085_scans-patents_lynn-conway-us5046022-rescan-gray_p027_2479x3230.sdr.png	1		0
6086	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6086_scans-patents_lynn-conway-us5046022-rescan-gray_p028_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6086_scans-patents_lynn-conway-us5046022-rescan-gray_p028_2479x3230.sdr.png	1		0
6087	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6087_scans-patents_lynn-conway-us5046022-rescan-gray_p029_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6087_scans-patents_lynn-conway-us5046022-rescan-gray_p029_2479x3230.sdr.png	1		0
6088	6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6088_scans-patents_lynn-conway-us5046022-rescan-gray_p030_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/lynn_conway_us5046022_printrescangray300/6088_scans-patents_lynn-conway-us5046022-rescan-gray_p030_2479x3230.sdr.png	1		0
6089	6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6089_scans-patents_martha-jones-us77494-1bit_p001_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6089_scans-patents_martha-jones-us77494-1bit_p001_2320x3408.sdr.png	1		0
6090	6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6090_scans-patents_martha-jones-us77494-1bit_p002_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6090_scans-patents_martha-jones-us77494-1bit_p002_2320x3408.sdr.png	1		0
6091	6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6091_scans-patents_martha-jones-us77494-1bit_p003_2320x3408.png	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_1bitoriginal/6091_scans-patents_martha-jones-us77494-1bit_p003_2320x3408.sdr.png	1		0
6092	6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6092_scans-patents_martha-jones-us77494-rescan-color_p001_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6092_scans-patents_martha-jones-us77494-rescan-color_p001_2479x3230.sdr.png	1		0
6093	6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6093_scans-patents_martha-jones-us77494-rescan-color_p002_2479x3230.jpg	https://codec-corpus.r2.imazen.org/imazen-26-png-v3/6000-lilith-scans-public-patents/martha_jones_us77494_printrescancolor300/6093_scans-patents_martha-jones-us77494-rescan-color_p002_2479x3230.sdr.png	1		0
